created_at,text,entities__hashtags__text,entities__hashtags__text,
Wed Nov 04 21:52:15 +0000 2015,😍😍😍😍😍😍😍 https://t.co/nFU5ompwA6,,,
,,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:52:15 +0000 2015,"I have an unhealthy addition few will understand. (at @Staples in Los Angeles, CA) https://t.co/Yc6guDgyKb",,,
,,,,
,,,,
,,,,
Wed Nov 04 21:52:16 +0000 2015,I just looked up and instinctively said wassup to a person that looks just like @Potential___ then I remembered where I was,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:52:16 +0000 2015,"Interested in a #Nursing #job near #NorthHollywood, CA? This could be a great fit: https://t.co/BSOJniQ9Ek #Hiring #CareerArc",Nursing,,
,,job,,
,,NorthHollywood,,
,,Hiring,,
,,CareerArc,,
Wed Nov 04 21:52:18 +0000 2015,"Lunch! (at @MaurosCafe at Fred Segal in Los Angeles, CA) https://t.co/2K9EDgjLMt",,,
,,,,
,,,,
,,,,
Wed Nov 04 21:52:18 +0000 2015,"@JStables93 @Forbes Yes, they can change the name slightly -- Jamie Bond. It's not hard, this is a FICTIONAL PERSON.",,,
,,,,
,,,,
,,,,
Wed Nov 04 21:52:20 +0000 2015,HandicaPizzaParty #handicap #pizza #party #pizzaparty #hollywood #turnup #streetart #losangeles #wtf… https://t.co/YkVYGW8DWP,handicap,,
,,pizza,,
,,party,,
,,pizzaparty,,
,,hollywood,,
,,turnup,,
,,streetart,,
,,losangeles,,
,,wtf,,
Wed Nov 04 21:52:20 +0000 2015,"This #Hospitality #job might be a great fit for you: Inventory Worker - https://t.co/NfJV0bEEhF #KellyJobs #KellyServices #LosAngeles, CA",Hospitality,,
,,job,,
,,KellyJobs,,
,,KellyServices,,
,,LosAngeles,,
