created_at,text,entities__hashtags__text,entities__hashtags__text,
Mon Nov 09 21:14:23 +0000 2015,"We're #hiring! Click to apply: Driver Helper - https://t.co/5jt9hCAisX #Transportation #LAKELAND, FL #Job #Jobs #CareerArc",hiring,,
,,Transportation,,
,,LAKELAND,,
,,Job,,
,,Jobs,,
,,CareerArc,,
Mon Nov 09 21:14:23 +0000 2015,I like your hair bff :),,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:24 +0000 2015,@Striver_SRY well I need your help 😒,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:27 +0000 2015,my comment on Justin Bieber's song #LoveYourself https://t.co/C5BUkRBEA6,LoveYourself,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:29 +0000 2015,"@wizdom4you Remember, the Montgomery Bus Boycott was effective because blk citizens stop there financial support of segregated bus system",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:33 +0000 2015,👏👏👏👏 https://t.co/j6OZ6blTDi,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:33 +0000 2015,The Wellness and Recreation Center will be CLOSED Wednesday November 11th for Veterans Day! https://t.co/NXMjiXJift,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:34 +0000 2015,@Striver_SRY feel like you'd be good at finding hotels,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:34 +0000 2015,Cannot wait to see y'all soon @_mhester93 @MissQ_Jackson @Brooklyn_GoHard @haleymusicc @taylorr_renae @Killaakamm_2 oh & lol at my life😂,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:35 +0000 2015,I wanna do a surprise trip this weekend like Tampa snorkeling let see how this weather gone look,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:36 +0000 2015,Entrevista a adamarilopez con su nuevo libro #Amando #KarasMagazine #latepost #Miami @ Books & Books https://t.co/Lu8qp2GUZz,Amando,,
,,KarasMagazine,,
,,latepost,,
,,Miami,,
Mon Nov 09 21:14:39 +0000 2015,Är så trött,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:40 +0000 2015,@CafeFantasia We stayed offsite last year because the Santa Fe was like $400 US per night.,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:45 +0000 2015,"@Jerrincoontz Texas, by Dallas",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:45 +0000 2015,So many memories that will last forever💛 #FamilyVacation @ Port Of… https://t.co/LJtlIC6gEK,FamilyVacation,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:47 +0000 2015,"Cheers! (@ Titanic Restaurant & Brewery - @titanicbrewery in Coral Gables, FL) https://t.co/FNT3kowqfS",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:47 +0000 2015,"Nueva adquisicion de kedices 📲 + una de montaditos, ahora ya no te quejes… https://t.co/Nn8AHf9odI",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:51 +0000 2015,🙋🏿🙋🏿🙋🏿🙋🏿🙋🏿 https://t.co/0FUatWjdI9,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:53 +0000 2015,Oh man.  https://t.co/J8comSJ8gJ,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:53 +0000 2015,Little throw back https://t.co/yKWvrPQFbs,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:54 +0000 2015,How do I break it to my cat that there is no God?,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:55 +0000 2015,"Can you recommend anyone for this #Labor #job? https://t.co/9jHLWMblFH #B2B #Tampa, FL #Hiring",Labor,,
,,job,,
,,B2B,,
,,Tampa,,
,,Hiring,,
Mon Nov 09 21:14:58 +0000 2015,😭 https://t.co/yYvSHXF7n4,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:59 +0000 2015,@TropDontTweet I'm blown away with this,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:01 +0000 2015,Purpose is honestly going to be such an AMAAZZING album I'm so excited,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:01 +0000 2015,| B L O O M | as you have never done before. It's a powerful tool that not everybody has it.… https://t.co/4tisJebDsV,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:01 +0000 2015,Hanging up fixes nothing,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:02 +0000 2015,@camerondallas are u coming back to Miami soon??? ❤️❤️,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:02 +0000 2015,AIDS N : HIV drug given approval by USA authorities https://t.co/ERcmZcipFu,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:03 +0000 2015,AIDS N : 8 modern advancements in the struggle against HIV https://t.co/X3VptBnLAq,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:03 +0000 2015,AIDS N : HIV drug given approval by USA authorities https://t.co/Bnf9innlNW,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:03 +0000 2015,AIDS N : 8 modern advancements in the struggle against HIV https://t.co/ZZOH3oMBZ9,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:03 +0000 2015,They don't like women https://t.co/NLTu4kyomH,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:03 +0000 2015,"AIDS N : Young, Gay, HIV-Positive—and a Pastor https://t.co/pKZLhSxsYF",,,
,,,,
,,,,
,,,,
